Timestamp,Peccala,BTC/USDT,ETH/USDT,XRP/USDT,Dates
1610384400,0.97540764116698,0.8421429156454121,0.7657530218623096,0.8885556583607185,2021-01-11 17:00:00
1610388000,0.9714041179386121,0.8706949266697925,0.7932338893612964,0.8872475512873687,2021-01-11 18:00:00
1610391600,0.9688100989186992,0.8630914120786306,0.7895544094156541,0.8777717512682256,2021-01-11 19:00:00
1610395200,0.9703899282274844,0.8549416085809503,0.7821080320742572,0.8788565229875888,2021-01-11 20:00:00
1610398800,0.9666891357641164,0.8855857391294206,0.8105902267290774,0.8863542098714225,2021-01-11 21:00:00
1610402400,0.9625956558719428,0.9002030095456101,0.8201743580777697,0.9021791149538972,2021-01-11 22:00:00
1610406000,0.9599814360341948,0.9107773179573726,0.8406856706905184,0.9092620361803272,2021-01-11 23:00:00
1610409600,0.9566836227976804,0.9385876907670814,0.8638433479293985,0.917014963468717,2021-01-12 00:00:00
1610413200,0.958287851922526,0.9258547327412068,0.8438724340991631,0.91360112305778,2021-01-12 01:00:00
1610416800,0.9590443775257164,0.9088725959378476,0.8385081814786264,0.9031362664709822,2021-01-12 02:00:00
1610420400,0.9572120873873948,0.9118068114619418,0.8497532443794553,0.9096768018377308,2021-01-12 03:00:00
1610424000,0.9555834531102756,0.9273115031585888,0.8652102389675205,0.96710589286284,2021-01-12 04:00:00
1610427600,0.9555156130686874,0.9352394513361548,0.8703996566878324,0.9566729413266118,2021-01-12 05:00:00
1610431200,0.9546856750654644,0.95110674527643,0.8976977422456748,0.9700730625658042,2021-01-12 06:00:00
1610434800,0.9537667138841588,0.9541782619424825,0.9043732566178984,0.9791979070286826,2021-01-12 07:00:00
1610438400,0.9549899947992674,0.9651793171468186,0.9053666367328126,0.9706792585266246,2021-01-12 08:00:00
1610442000,0.955092213798198,0.9482056622672872,0.8875255298689533,0.9557795999106656,2021-01-12 09:00:00
1610445600,0.9549069462331682,0.9522486242717142,0.8860076450533645,0.9529400504099798,2021-01-12 10:00:00
1610449200,0.9543308903645079,0.9299835742243876,0.8618486406586509,0.9261717129821648,2021-01-12 11:00:00
1610452800,0.9545564781252104,0.9386041244944971,0.8734990026463647,0.9365089493666848,2021-01-12 12:00:00
1610456400,0.9548163953051249,0.9280539365536192,0.8637003011928508,0.9393804039179402,2021-01-12 13:00:00
1610460000,0.955786087343514,0.882279114137273,0.8151359341349249,0.901221963436812,2021-01-12 14:00:00
1610463600,0.955053411077246,0.8857373535178381,0.8230750280133193,0.904189133139776,2021-01-12 15:00:00
1610467200,0.9536216966047638,0.8966824810369364,0.8372525490133749,0.9107934786076636,2021-01-12 16:00:00
1610470800,0.9493210374775112,0.927681527085566,0.8795784889496396,0.9497495453530292,2021-01-12 17:00:00
1610474400,0.9492644089987679,0.9280428040285956,0.8882010283470951,0.9534186261685224,2021-01-12 18:00:00
1610478000,0.9508668093736132,0.9287913338063772,0.8776632520880852,0.9520467089940337,2021-01-12 19:00:00
1610481600,0.951903064436662,0.9193901814840132,0.8604738025796095,0.9339884503716938,2021-01-12 20:00:00
1610485200,0.9528566549954892,0.9088368128216999,0.8588605532729888,0.938614682704272,2021-01-12 21:00:00
1610488800,0.9520157792624914,0.9203348557503068,0.8564764409971948,0.9522381392974508,2021-01-12 22:00:00
1610492400,0.9543579494887696,0.8946229639075586,0.8367518854354582,0.9259483776281784,2021-01-12 23:00:00
1610496000,0.9535404032951258,0.9025071771653888,0.8347253900010331,0.9329355837029,2021-01-13 00:00:00
